,№ заявки,Цех,Инв. номер,Год выпуска,Оборудование,Модель,Дата открытия,Описание неисправ.,Причина неисправности,Принятые меры,Дата закрытия заявки,data,day,month,year,temp,длительность ремонта,Категория оборудования
14550,19-01-010,ЦЕХ 20,5-611,2002.0,электроэрозионный станок с чпу,350 HSS,2019-01-09,н/р вводный автомат,неисправен автомат,замена автомата,2019-01-14,2019-01-09,9.0,1.0,2019.0,-10.0,5 days,Э
14551,19-01-013,ЦЕХ 41,5/527,2000.0,эл.эpоз.стан. чпу evolition-2,EVOLITION-2,2019-01-09,заедает поплавок,н/р микровыключатель,замена,2019-01-14,2019-01-09,9.0,1.0,2019.0,-10.0,5 days,Э
14552,19-01-012,ЦЕХ 23,5-239,2012.0,5-ти осевой обрабатывающий центр,PICOMAX 825 VERSA,2019-01-09,неисправен холод агрегат,неисправность контроллера,диагностика,2019-01-10,2019-01-09,9.0,1.0,2019.0,-10.0,1 days,А
14553,19-01-016,ЦЕХ 26,5-782,2014.0,обрабатывающий центр,E160A,2019-01-09,настроить программу,ош привода по превышению тока,диагностика,2019-01-15,2019-01-09,9.0,1.0,2019.0,-10.0,6 days,Т
14554,19-01-008,ЦЕХ 41,5-105,1989.0,уhиверсальhо-заточhой ст-к с чпу,ГЦ-6,2019-01-09,ош: разряжена батарейка,села батарейка,необходимо купить,2019-01-09,2019-01-09,9.0,1.0,2019.0,-10.0,0 days,И
14555,19-01-005,ЦЕХ 23,5-767,2011.0,центр вертикально-фрезерный обрабатывающий,A-6,2019-01-09,нет отклика ренишоу,нет отклика на ренишоу-треб.вызов спец.,проверено,2019-01-16,2019-01-09,9.0,1.0,2019.0,-10.0,7 days,Ф
14556,19-01-009,ЦЕХ 20,5-616,2011.0,электроэрозионный станок,AQ-750L,2019-01-09,нет перемещения по осям,"не работает ось х, треб.вызов спец-ов",диагностика работы ст-ка,2019-01-16,2019-01-09,9.0,1.0,2019.0,-10.0,7 days,Э
14557,19-01-021,ЦЕХ 26,1/2498,1989.0,токарhый  с чпу,BKN-100,2019-01-10,ош 248,неисправность пневмоклапана,замена,2019-01-14,2019-01-10,10.0,1.0,2019.0,-9.0,4 days,Т
14558,19-01-022,ЦЕХ 3,6/234,2000.0,устаhовка вакуумhая плавильhая,УППФ-3МК,2019-01-10,"сгорел контакт, не вкл",нет контура печи,восстановление контура,2019-01-15,2019-01-10,10.0,1.0,2019.0,-9.0,5 days,Г
14559,19-01-020,ЦЕХ 28,5/131,1981.0,фpeзepный cпeциальный bept. с чпу,MA 655A14,2019-01-10,ош 2120,заклинило вентилятор охлаждения привода,чистка вентилятора,2019-01-15,2019-01-10,10.0,1.0,2019.0,-9.0,5 days,А
14560,19-01-025,ЦЕХ 43,5-224,2009.0,центр обрабатывающий пятиосевой,ТФЦ-1200,2019-01-10,нестабильная работа охлаждения,сбой работы электроники,диагностика системы,2019-01-16,2019-01-10,10.0,1.0,2019.0,-9.0,6 days,А
14561,19-01-024,ЦЕХ 20,5-603,2002.0,шлифовальный спец станок с чпу,МС-607,2019-01-10,не вкл,ошибка оператора,перезапуск станка,2019-01-11,2019-01-10,10.0,1.0,2019.0,-9.0,1 days,Ш
14562,19-01-019,ЦЕХ 15,3-654,2002.0,эл.печь вакуумная с газ. агрегатом,VDNT,2019-01-10,"блок управления печи не запускается, ошибка",неисправен контроллер,ремонт контроллера,2019-01-15,2019-01-10,10.0,1.0,2019.0,-9.0,5 days,Г
14563,19-01-023,ЦЕХ 20,5/550,1997.0,электроэрозионный станок,COMPACT-I,2019-01-10,нет перемещения по осям,стерлись щетки коллектора двигателя,замена,2019-01-14,2019-01-10,10.0,1.0,2019.0,-9.0,4 days,Э
14564,19-01-028,ЦЕХ 17,5/579,1971.0,mahипул.t-25m koлпиhck. pem.з-д,T25M,2019-01-11,не зажигается дуга,выскочила силовая клемма,восстановление контакта,2019-01-11,2019-01-11,11.0,1.0,2019.0,-10.0,0 days,З
14565,19-01-026,ЦЕХ 25,5/598,1989.0,tokaphый п/abtom. с чпу,SPT-32 NC,2019-01-11,люфт по х,люфт по х,ввод коррекции,2019-01-15,2019-01-11,11.0,1.0,2019.0,-10.0,4 days,Т
14566,19-01-031,ЦЕХ 19,8-147,2002.0,станок зубошлифовальный с чпу,G 30,2019-01-11,сильная вибрация и отключается,неисправность швп,замена швп по оси у,2019-01-16,2019-01-11,11.0,1.0,2019.0,-10.0,5 days,Ш
14567,19-01-027,ЦЕХ 23,5-755,2011.0,центр обрабатывающий токарный,DZ 45 CNC/H2,2019-01-11,ош 21614,некомпетентная работа оператора,юстировка задней бабки,2019-01-14,2019-01-11,11.0,1.0,2019.0,-10.0,3 days,Т
14568,19-01-029,Отдел станков с программным управлением,4-356,2013.0,станок пятиосевой шлифовальный заточной,TX7+,2019-01-11,течь масла,износ шланга,диагностика,2019-01-11,2019-01-11,11.0,1.0,2019.0,-10.0,0 days,И
14569,19-01-030,ЦЕХ 20,5/530,2000.0,электроэрозионный станок,Integral-4,2019-01-11,не выходит в референт,выход из строя уплотнен.по контуру ванны,диагност.раб.ст-ка,2019-01-21,2019-01-11,11.0,1.0,2019.0,-10.0,10 days,Э
14570,19-01-032,ЦЕХ 20,6/540,1994.0,уст-ка д/ионноплазменного напыления,МАП-1,2019-01-12,не работ.напускной клапан,неконтакт разъема,подтяжка ичистка клапана и разъема,2019-01-12,2019-01-12,12.0,1.0,2019.0,-9.0,0 days,У
14572,19-01-034,ЦЕХ 23,5-236,2011.0,5-ти осевой обрабатывающий центр,PICOMAX 825 VERSA,2019-01-14,нет откр-закр дверцы смены инструмента,сбой сист. снабжен.воздухом,перезагрузка системы и сброс ошибки,2019-01-16,2019-01-14,14.0,1.0,2019.0,-2.0,2 days,А
14573,19-01-035,ЦЕХ 25,5-257,2015.0,пятиосевой вертикально фрезерный обрабатывающий центр с чпу,MCU 700V-5X,2019-01-14,"ош 84, 68",выполнение требования завода производ.по регламенту,произвед.смазка шпинделя,2019-01-16,2019-01-14,14.0,1.0,2019.0,-2.0,2 days,А
14574,19-01-033,ЦЕХ 22,5/50,1992.0,токарно-револьверный станок с осу,1В340Ф30,2019-01-14,не сбрасывается ош,вышло из строя чпу,ремонт чпу,2019-01-14,2019-01-14,14.0,1.0,2019.0,-2.0,0 days,Р
14575,19-01-036,ЦЕХ 19,5-753,2011.0,токарный специальный с чпу,1П756ДФ308,2019-01-14,нет посадки верхн рев головы,выход из строя верхн рев головы,ремонт рев головы,2019-01-15,2019-01-14,14.0,1.0,2019.0,-2.0,1 days,Т
14576,19-01-037,ЦЕХ 39,4-608,2006.0,станок,ОШ-641-03,2019-01-14,ош: ось z1 - неисправность привода,выход из строя привода,диагностика и демонтаж привода,2019-01-15,2019-01-14,14.0,1.0,2019.0,-2.0,1 days,Ш
14577,19-01-044,ЦЕХ 35,5-197,2010.0,ct д/aбpaзиbho-жидkocthoй oбpaботки,NC3520S,2019-01-15,замена батарейки,выход из строя батарейки,замена батар.привода оси а,2019-01-16,2019-01-15,15.0,1.0,2019.0,0.0,1 days,В
14578,19-01-041,ЦЕХ 26,5/38,1989.0,tokapho-peboльb.ct. с чпу,1В340Ф30РМ,2019-01-15,не режет резьбу,выход из строя датчика,замена датчика шпинделя,2019-01-17,2019-01-15,15.0,1.0,2019.0,0.0,2 days,Р
14579,19-01-039,ЦЕХ 28,4-766,2001.0,моечная машина,МС-75,2019-01-15,не выставляется реле времени,неисправно мех реле времени,ремонт реле,2019-01-15,2019-01-15,15.0,1.0,2019.0,0.0,0 days,Ж
14580,19-01-047,ЦЕХ 22,4-590,2002.0,плоско-шлифовальный стаок,3Д711ВФ11исп28,2019-01-15,н/р теристорный привод поперечной подачи,устранено силами цеха22,ст-к работает,2019-01-16,2019-01-15,15.0,1.0,2019.0,0.0,1 days,Ш
14581,19-01-045,ЦЕХ 41,9-75,2013.0,резьбошлифовальный ст-к с чпу,МШ-520Р-1,2019-01-15,"стук, вибрация",износ червячного редуктора,диагностика и ремонт червячного редуктора,2019-01-23,2019-01-15,15.0,1.0,2019.0,0.0,8 days,Ш
14582,19-01-040,ЦЕХ 20,6-597,2003.0,установка плазменная д/нанесения покрыти,МАП-2,2019-01-15,нет стабильности процесса напыления и работы блока смещения,нарушение контакта,восстановление конт.источн.смещения,2019-01-16,2019-01-15,15.0,1.0,2019.0,0.0,1 days,У
14583,19-01-043,ЦЕХ 16,3/203,1953.0,шaxthaя эл.пeчь цилиhдp,ГАП-155-14,2019-01-15,нет рег-ки температуры,неисправна нагрузка,восстановление нагрузки,2019-01-15,2019-01-15,15.0,1.0,2019.0,0.0,0 days,Г
14584,19-01-038,ЦЕХ 25,5-765,2012.0,токарнный станок с чпу,SPT-32 NC,2019-01-15,уст-ка швп по z,выход из строя швп,установка швп по z,2019-01-23,2019-01-15,15.0,1.0,2019.0,0.0,8 days,Т
14585,19-01-042,ЦЕХ 25,5-765,2012.0,токарнный станок с чпу,SPT-32 NC,2019-01-15,откл двигателя оси х,монтаж швп,подключение двигателя оси х,2019-01-16,2019-01-15,15.0,1.0,2019.0,0.0,1 days,Т
14586,19-01-046,ЦЕХ 39,2-564,1980.0,широкоуниверсальный фрезерный станок,WF-2SA,2019-01-15,сбой продольной подачи,"неисправность платы,реб.рем.на ф-ме",диагностика платы привода,2019-01-22,2019-01-15,15.0,1.0,2019.0,0.0,7 days,Ф
14587,19-01-052,ЦЕХ 25,1/1647,1972.0,tokaphый ctанок с чпу,MDW-10,2019-01-16,не работ.кондиционер,утечка фреона,устранение утечки фреона,2019-01-21,2019-01-16,16.0,1.0,2019.0,-5.0,5 days,Т
14588,19-01-054,ЦЕХ 19,5/605,1989.0,п/автом. токарный патрон. с чпу,1П756ДФ321,2019-01-16,не включ.монитори клин.меэжу7 и 8 позиц.,выход из строя рев.головы,ремонт револьв.головы,2019-01-25,2019-01-16,16.0,1.0,2019.0,-5.0,9 days,Т
14589,19-01-048,ЦЕХ 41,5-105,1989.0,уhиверсальhо-заточhой ст-к с чпу,ГЦ-6,2019-01-16,замена батарейки,выход из строя,замена батарейки,2019-01-16,2019-01-16,16.0,1.0,2019.0,-5.0,0 days,И
14590,19-01-055,ЦЕХ 16,5-211,2002.0,центр вертикальный обрабатывающий,UCP 1350 TNC 426 M,2019-01-16,ош.39,отклонен.в настройках устр.зажима инстр-та,корректировка параметров,2019-01-21,2019-01-16,16.0,1.0,2019.0,-5.0,5 days,А
14591,19-01-051,ЦЕХ 20,5/516,1983.0,cпeц.шлифob.ct.д/замка лoпatok,SS13L,2019-01-16,вышибает авт.шпинделя накатн.ролика,выход из строя эл.двиг.правки ролика,диагностика работы ст-ка,2019-01-16,2019-01-16,16.0,1.0,2019.0,-5.0,0 days,Ш
14592,19-01-053,ЦЕХ 25,5-746,2002.0,tokaphый ctанок с чпу,SLT-630/1500MC,2019-01-16,люфты по х и z,износ швп по осям,треб.приобретение швп по х и z,2019-01-16,2019-01-16,16.0,1.0,2019.0,-5.0,0 days,Т
14593,19-01-049,ЦЕХ 26,5/53,1992.0,токарно-револьверный ст-к с чпу,1В340Ф30,2019-01-16,установить голову,износ черв.колеса,треб.изготовление червячн.колеса,2019-01-16,2019-01-16,16.0,1.0,2019.0,-5.0,0 days,Р
14594,19-01-056,ЦЕХ 26,5-59,2001.0,токарно-револьверный ст-к с чпу,1ВЗ40Ф-30,2019-01-16,дерг.по z и идет дробление резьбы,выход из строя двигателя оси z,диагностика двигателя,2019-01-17,2019-01-16,16.0,1.0,2019.0,-5.0,1 days,Р
14595,19-01-050,ЦЕХ 16,5-212,2002.0,центр вертикальный обрабатывающий,UCP 1350 TNC 426 M,2019-01-16,после удара-поврежден шпиндель,врезание шпинделя в рабоч.поворотн.стол,проверено,2019-01-16,2019-01-16,16.0,1.0,2019.0,-5.0,0 days,А
14596,19-01-062,ЦЕХ 22,5/39,1989.0,tokapho-peboльb.ct. с чпу,1В340Ф30РМ,2019-01-17,ош.631-не режет резьбу,выход из строя датчика шпинделя,замена датчика,2019-01-18,2019-01-17,17.0,1.0,2019.0,-1.0,1 days,Р
14597,19-01-065,ЦЕХ 19,5/605,1989.0,п/автом. токарный патрон. с чпу,1П756ДФ321,2019-01-17,выход из строя рев.головы,выход из строя рев.головы,ремонт револьв.головы,2019-01-25,2019-01-17,17.0,1.0,2019.0,-1.0,8 days,Т
14598,19-01-059,ЦЕХ 28,5-750,2002.0,станок для обработки в центрах с чпу,MASTURN 50 CNC / 800,2019-01-17,установить швп по х,установка после ремонта,замена швп,2019-01-30,2019-01-17,17.0,1.0,2019.0,-1.0,13 days,Т
14599,19-01-058,ЦЕХ 19,8-147,2002.0,станок зубошлифовальный с чпу,G 30,2019-01-17,неисправен привод шлиф.шпинделя,выход из строя гл двигателя,замена гл двигателя,2019-01-23,2019-01-17,17.0,1.0,2019.0,-1.0,6 days,Ш
14600,19-01-067,ЦЕХ 16,6/451,1984.0,эл.лучeb.уctahobka,ЭЛУ 9Б,2019-01-17,сбой датчика по перемещению,неисправность датчика осиw,замена  датчика,2019-01-22,2019-01-17,17.0,1.0,2019.0,-1.0,5 days,У
14601,19-01-061,ЦЕХ 20,5/530,2000.0,электроэрозионный станок,Integral-4,2019-01-17,выход из строя пневматич.уплотнений по конт.ванны,нарушение герметичн.-износ,установка уплотнений,2019-01-22,2019-01-17,17.0,1.0,2019.0,-1.0,5 days,Э
14602,19-01-060,ЦЕХ 20,5/303,1980.0,электроэрозионный станок,4Е-723,2019-01-17,нет прожига,неисправна плата,ремонт платы подачи инстр-та,2019-01-22,2019-01-17,17.0,1.0,2019.0,-1.0,5 days,Э
14603,19-01-066,ЦЕХ 20,5-560,2003.0,электроэрозионный станок,HSD6-11,2019-01-17,насос не разв.давления,вышел из строя насос,ремонт насоса,2019-01-18,2019-01-17,17.0,1.0,2019.0,-1.0,1 days,Э
14604,19-01-064,ЦЕХ 16,5-775,2013.0,станок токарный универсальный,DUS-1110 Li,2019-01-17,после удара пишет ош.-сорван болт,обрыв предохранительных болтов швп оси z,необходимо изготовить предохранительные болты,2019-01-18,2019-01-17,17.0,1.0,2019.0,-1.0,1 days,Т
14605,19-01-057,ЦЕХ 39,5/663,2001.0,токарный  обрабатывающий  центр с чпу,ЛЦЕ-500Т,2019-01-17,не загружается,треб.проверка на фирме  и ремонт,"диагностика, демонт.процес.платы",2019-01-21,2019-01-17,17.0,1.0,2019.0,-1.0,4 days,Т
14606,19-01-063,ЦЕХ 26,5/48,1991.0,токарно-револьверный ст-к с чпу,1В340Ф30,2019-01-17,течнт масло из рукава на узел рев.головы,"износ шлангов,реб.изготовление их",сняты шланги рукава,2019-01-22,2019-01-17,17.0,1.0,2019.0,-1.0,5 days,Р
14607,19-01-073,ЦЕХ 3,3-82,2003.0,"комплекс,пресс модельный с запирающим устройством",105-12,2019-01-18,н/р,неисправность платы,емонт платы контроллера,2019-01-22,2019-01-18,18.0,1.0,2019.0,1.0,4 days,Л
14608,19-01-068,ЦЕХ 25,5-747,2002.0,станок токарный с чпу,NG200,2019-01-18,не крутится верхн рев голова,мех сбой рев головки,реферирование рев головыы,2019-01-18,2019-01-18,18.0,1.0,2019.0,1.0,0 days,Т
14609,19-01-074,ЦЕХ 16,5-775,2013.0,станок токарный универсальный,DUS-1110 Li,2019-01-18,врезание по оси z,врезание оси в шпиндель,восстановл.параметров сист.с привязкой оси к 0,2019-01-21,2019-01-18,18.0,1.0,2019.0,1.0,3 days,Т
14610,19-01-069,ЦЕХ 22,5/50,1992.0,токарно-револьверный станок с осу,1В340Ф30,2019-01-18,не выполняет программу,выход из строя чпу,ремонт чпу,2019-01-18,2019-01-18,18.0,1.0,2019.0,1.0,0 days,Р
14611,19-01-070,ЦЕХ 26,1-2606,1987.0,токарный станок с чпу,SHAUBLIN-130 CNC,2019-01-18,лопнул шланг,нарушение герметичн.подвод.трубки,замена шланга,2019-01-22,2019-01-18,18.0,1.0,2019.0,1.0,4 days,Т
14612,19-01-071,ЦЕХ 20,5-560,2003.0,электроэрозионный станок,HSD6-11,2019-01-18,зарядить г/аккумулятор,разряжен г/аккум.,зарядка г/аккумулятора,2019-01-22,2019-01-18,18.0,1.0,2019.0,1.0,4 days,Э
14613,19-01-076,ЦЕХ 20,5/530,2000.0,электроэрозионный станок,Integral-4,2019-01-18,собрать станок,,,2019-01-18,2019-01-18,18.0,1.0,2019.0,1.0,0 days,Э
14614,19-01-072,ЦЕХ 26,5/403,1984.0,эл.эрозион. копиров. прошивоч. ст-к,4Г721М,2019-01-18,нет движения пиноли,неисправность тумблера,замена тумблера включения блока подачи,2019-01-21,2019-01-18,18.0,1.0,2019.0,1.0,3 days,Э
14615,19-01-075,ЦЕХ 8,7/105,1979.0,бесцентровый круглошлифовальный станок,SR-3,2019-01-18,стол не перемещается,не раб.концевой выкл.оси,диагностика раб.ст-ка-передача цех.электрикам,2019-01-21,2019-01-18,18.0,1.0,2019.0,1.0,3 days,Ш
14616,19-01-077,ЦЕХ 43,5-218,2004.0,oбpaбатывающий цehtp с чпу,TB-1306,2019-01-19,"сбой, ошибки",не активирована ось в,"перезапуск, активация оси",2019-01-19,2019-01-19,19.0,1.0,2019.0,1.0,0 days,А
14617,19-01-078,ЦЕХ 19,8-150,2005.0,станок зубошлифовальный,P600/800G,2019-01-19,не вкл,н/р панель управления чпу,перезапуск системы,2019-01-19,2019-01-19,19.0,1.0,2019.0,1.0,0 days,Ш
14619,19-01-083,ЦЕХ 8,7/105,1979.0,бесцентровый круглошлифовальный станок,SR-3,2019-01-21,не сходятся образивн.круги,,,2019-01-21,2019-01-21,21.0,1.0,2019.0,-4.0,0 days,Ш
14620,19-01-080,ЦЕХ 9,5-138,2013.0,механизированная автооператорная линия,ГЛДИ 30.168.00.00.00,2019-01-21,встал манипулятор,перекос горизонта  лифта,выставлен горизонт,2019-01-21,2019-01-21,21.0,1.0,2019.0,-4.0,0 days,Ж
14621,19-01-079,ЦЕХ 16,3/633,2000.0,печь вертикальная,6818-2185,2019-01-21,не запускается,не включается тпчт,ремонт эл.автомат.включат.тпчт,2019-01-22,2019-01-21,21.0,1.0,2019.0,-4.0,1 days,Г
14622,19-01-084,ЦЕХ 25,5-257,2015.0,пятиосевой вертикально фрезерный обрабатывающий центр с чпу,MCU 700V-5X,2019-01-21,ошибка смазки салазок,выход из строя насоса смазочной станции,замена насоса,2019-01-23,2019-01-21,21.0,1.0,2019.0,-4.0,2 days,А
14623,19-01-085,ЦЕХ 19,8-150,2005.0,станок зубошлифовальный,P600/800G,2019-01-21,не запуск.панель оператора,выход из строя бл.питания,замена блока питания пцу,2019-01-22,2019-01-21,21.0,1.0,2019.0,-4.0,1 days,Ш
14624,19-01-088,ЦЕХ 20,5-547,2001.0,электроэрозионный станок,S-26,2019-01-21,потек насос,износ уплтнения,вышел из строя уплотнитель,2019-01-22,2019-01-21,21.0,1.0,2019.0,-4.0,1 days,Э
14625,19-01-086,ЦЕХ 26,5-782,2014.0,обрабатывающий центр,E160A,2019-01-21,ош.svj436/e/,неисправен привод,диагностика работы ст-ка,2019-01-21,2019-01-21,21.0,1.0,2019.0,-4.0,0 days,Т
14626,19-01-082,ЦЕХ 25,5-257,2015.0,пятиосевой вертикально фрезерный обрабатывающий центр с чпу,MCU 700V-5X,2019-01-21,ош.-смазки салазок,треб.смазка салазок,диагностика раб.ст-ка,2019-01-21,2019-01-21,21.0,1.0,2019.0,-4.0,0 days,А
14627,19-01-081,ЦЕХ 41,5/532,2001.0,электроэрозионный станок,EVOLITION-2,2019-01-21,не загруж.-ош.неисправен вент.охлажден.процессора,неисправность платы,проверено треб.ремонт платы,2019-01-25,2019-01-21,21.0,1.0,2019.0,-4.0,4 days,Э
14628,19-01-087,ЦЕХ 20,5-580,2004.0,электроэрозионный станок с чпу,HS-600,2019-01-21,не выход.в '0',треб.демонтаж линейки,диагностика работы станка,2019-01-22,2019-01-21,21.0,1.0,2019.0,-4.0,1 days,Э
14629,19-01-096,ЦЕХ 8,7/105,1979.0,бесцентровый круглошлифовальный станок,SR-3,2019-01-22,выдает ош.000,обрыв фазы,устранение обрыва фазы пит-я разъема двигат.лазерн.правки,2019-01-25,2019-01-22,22.0,1.0,2019.0,-14.0,3 days,Ш
14630,19-01-093,ЦЕХ 16,4/94,2001.0,комплекс роботизированный,ТСЗП MF-P-2001,2019-01-22,не запускается плазма,подали не тот газ,восстановление правильной подачи газа,2019-01-23,2019-01-22,22.0,1.0,2019.0,-14.0,1 days,У
14631,19-01-095,ЦЕХ 8,5-758,2012.0,токарный обрабатывающий центр,DZ 45 CNC,2019-01-22,ош.остановка рев.головы при подключении,выход из строя рев головы,диагностика,2019-01-23,2019-01-22,22.0,1.0,2019.0,-14.0,1 days,Т
14632,19-01-089,ЦЕХ 43,5-226,2010.0,центр обрабатывающий с чпу,XCEEDER 900RT,2019-01-22,нагрузка на оси у и v,вибрация оси х и z,наладка муфт приводов осей,2019-01-23,2019-01-22,22.0,1.0,2019.0,-14.0,1 days,А
14633,19-01-092,ЦЕХ 20,5/530,2000.0,электроэрозионный станок,Integral-4,2019-01-22,выход из строя чпу,плохой контакт,восстановление контакта разъема двигателя,2019-01-25,2019-01-22,22.0,1.0,2019.0,-14.0,3 days,Э
14634,19-01-090,ЦЕХ 43,4/562,1990.0,станок плоскошлифовальный,ОПТИМАЛЬ VA-II,2019-01-22,не раб.в автоматич.режиме,ремонт силами цеха43,этот ст-к обслуживает цех43,2019-01-22,2019-01-22,22.0,1.0,2019.0,-14.0,0 days,Ш
14635,19-01-097,ЦЕХ 26,5/48,1991.0,токарно-револьверный ст-к с чпу,1В340Ф30,2019-01-22,установка - монтаж  рукава,нарушение герметичности шлангов,демонтаж старых шлангов и их замена,2019-01-23,2019-01-22,22.0,1.0,2019.0,-14.0,1 days,Р
14636,19-01-094,ЦЕХ 16,6/451,1984.0,эл.лучeb.уctahobka,ЭЛУ 9Б,2019-01-22,сбой приводов,сгорел б/контактный датчик,необходима закупка,2019-01-23,2019-01-22,22.0,1.0,2019.0,-14.0,1 days,У
14637,19-01-091,ЦЕХ 20,5-547,2001.0,электроэрозионный станок,S-26,2019-01-22,не работает по осям,выход из строя эл.двигателя,проверено-треб.ремонт эл.двиг.в ц51,2019-01-22,2019-01-22,22.0,1.0,2019.0,-14.0,0 days,Э
14638,19-01-104,ЦЕХ 23,5-236,2011.0,5-ти осевой обрабатывающий центр,PICOMAX 825 VERSA,2019-01-23,замена температурного датчика,не работ.холодильное оборудование,заблокирован холодильник для раб.ст-ка,2019-01-30,2019-01-23,23.0,1.0,2019.0,-13.0,7 days,А
14639,19-01-098,ЦЕХ 8,4-54,2004.0,профиле-hакатhой ст-к,PW15ePRS,2019-01-23,временами отключается,неисправен разъем панели управления,замена кабеля панели управления,2019-01-24,2019-01-23,23.0,1.0,2019.0,-13.0,1 days,Н
14640,19-01-101,ЦЕХ 15,3-724,2013.0,печь шахтная,S 500/85A,2019-01-23,н/р г/цилиндр подъема крышки печи,разрегулировка дросселей,диагностика и ремонт г/схемы,2019-01-24,2019-01-23,23.0,1.0,2019.0,-13.0,1 days,Г
14641,19-01-103,ЦЕХ 25,5-765,2012.0,токарнный станок с чпу,SPT-32 NC,2019-01-23,выставить 0 после установки швп,люфт по оси z,коррекция винта оси z,2019-01-24,2019-01-23,23.0,1.0,2019.0,-13.0,1 days,Т
14642,19-01-099,ЦЕХ 3,5/366,1983.0,эл.эpoз.koпиp.пpoшиb.ct.,4Е-723,2019-01-23,кз,выход из строя силовых блоков,ремонт силовых блоков,2019-01-23,2019-01-23,23.0,1.0,2019.0,-13.0,0 days,Э
14643,19-01-105,ЦЕХ 23,5-236,2011.0,5-ти осевой обрабатывающий центр,PICOMAX 825 VERSA,2019-01-23,замена температурного датчика,треб.перепрограммирование контрол.,замена теплов.датчика,2019-01-30,2019-01-23,23.0,1.0,2019.0,-13.0,7 days,А
14644,19-01-100,ЦЕХ 20,5/516,1983.0,cпeц.шлифob.ct.д/замка лoпatok,SS13L,2019-01-23,не запускается,обрыв обмотки эл двигателя правочного ролика,диагностика,2019-01-23,2019-01-23,23.0,1.0,2019.0,-13.0,0 days,Ш
14645,19-01-102,ЦЕХ 39,10/131,1999.0,станок,1Е516ПФ2Н,2019-01-23,ош по  оси х,вышел из строя диодный мост,"сборка диодного моста, необходима замена",2019-01-29,2019-01-23,23.0,1.0,2019.0,-13.0,6 days,Т
14646,19-01-107,ЦЕХ 26,5/38,1989.0,tokapho-peboльb.ct. с чпу,1В340Ф30РМ,2019-01-24,нет движения по осям,выход из строя теплового реле,ремонт реле,2019-01-24,2019-01-24,24.0,1.0,2019.0,-11.0,0 days,Р
14647,19-01-110,ЦЕХ 39,9-983,2003.0,выпрямитель сварочный,ВСВУ-400,2019-01-24,не варит,неисправность педали,ремонт педали,2019-01-24,2019-01-24,24.0,1.0,2019.0,-11.0,0 days,Э
14648,19-01-111,ЦЕХ 19,8-150,2005.0,станок зубошлифовальный,P600/800G,2019-01-24,вышел из строя блок питания,после ремонта,установка блока питания,2019-02-05,2019-01-24,24.0,1.0,2019.0,-11.0,12 days,Ш
